date,time,latitude,longitude,year,month,day,week,day_of_week,coordinates
2011-08-29,6:56:58 PM,42.3916233333333,-88.0891633333333,2011,8,29,35,0,"(42.391623, -88.089163)"
2011-08-29,6:57:08 PM,42.3913483333333,-88.0891633333333,2011,8,29,35,0,"(42.391348, -88.089163)"
2011-08-29,6:57:18 PM,42.3910216666667,-88.0891566666667,2011,8,29,35,0,"(42.391022, -88.089157)"
2011-08-29,6:57:28 PM,42.3906366666667,-88.0891583333333,2011,8,29,35,0,"(42.390637, -88.089158)"
2011-08-29,6:57:38 PM,42.390409999999996,-88.0888583333333,2011,8,29,35,0,"(42.39041, -88.088858)"
2011-08-29,6:57:48 PM,42.390395,-88.08831500000001,2011,8,29,35,0,"(42.390395, -88.088315)"
2011-08-29,6:57:58 PM,42.3906733333333,-88.0880016666667,2011,8,29,35,0,"(42.390673, -88.088002)"
2011-08-29,6:58:08 PM,42.391026666666704,-88.0880016666667,2011,8,29,35,0,"(42.391027, -88.088002)"
2011-08-29,6:58:18 PM,42.391403333333294,-88.0880033333333,2011,8,29,35,0,"(42.391403, -88.088003)"
2011-08-29,6:58:28 PM,42.391718333333294,-88.08799499999999,2011,8,29,35,0,"(42.391718, -88.087995)"
2011-08-29,6:58:38 PM,42.392038333333296,-88.0879883333333,2011,8,29,35,0,"(42.392038, -88.087988)"
2011-08-29,6:58:48 PM,42.39241,-88.0880783333333,2011,8,29,35,0,"(42.39241, -88.088078)"
2011-08-29,6:58:58 PM,42.3928,-88.0883316666667,2011,8,29,35,0,"(42.3928, -88.088332)"
2011-08-29,6:59:08 PM,42.3932566666667,-88.08837,2011,8,29,35,0,"(42.393257, -88.08837)"
2011-08-29,6:59:18 PM,42.3936,-88.0882316666667,2011,8,29,35,0,"(42.3936, -88.088232)"
2011-08-29,7:00:08 PM,42.3932033333333,-88.0884166666667,2011,8,29,35,0,"(42.393203, -88.088417)"
2011-08-29,7:00:18 PM,42.3927916666667,-88.0883116666667,2011,8,29,35,0,"(42.392792, -88.088312)"
2011-08-29,7:00:28 PM,42.3924766666667,-88.08821,2011,8,29,35,0,"(42.392477, -88.08821)"
2011-08-29,7:00:38 PM,42.392385,-88.08869666666669,2011,8,29,35,0,"(42.392385, -88.088697)"
2011-08-29,7:00:48 PM,42.392098333333294,-88.0891133333333,2011,8,29,35,0,"(42.392098, -88.089113)"
2011-08-29,7:00:58 PM,42.392179999999996,-88.0894983333333,2011,8,29,35,0,"(42.39218, -88.089498)"
2011-08-29,7:01:08 PM,42.3924283333333,-88.08979000000001,2011,8,29,35,0,"(42.392428, -88.08979)"
2011-08-29,7:01:18 PM,42.3927216666667,-88.09004166666669,2011,8,29,35,0,"(42.392722, -88.090042)"
2011-08-29,7:01:28 PM,42.3929583333333,-88.0903,2011,8,29,35,0,"(42.392958, -88.0903)"
2011-08-29,7:01:38 PM,42.392990000000005,-88.09089499999999,2011,8,29,35,0,"(42.39299, -88.090895)"
2011-08-29,7:01:48 PM,42.393001666666706,-88.0916116666667,2011,8,29,35,0,"(42.393002, -88.091612)"
2011-08-29,7:01:58 PM,42.3930083333333,-88.09201,2011,8,29,35,0,"(42.393008, -88.09201)"
2011-08-29,7:02:08 PM,42.39302,-88.0925483333333,2011,8,29,35,0,"(42.39302, -88.092548)"
