date,address,species,block,street,trap,address_number_and_street,latitude,longitude,address_accuracy,num_mosquitos,wnv_present,year,month,day,week,day_of_week,coordinates,station,tmax,tmin,tavg,depart,dew_point,wet_bulb,sunrise,sunset,precip_total,stn_pressure,sea_level,result_speed,result_dir,avg_speed,heat_cool,normal
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,2007,5,29,22,1,"(41.95469, -87.800991)",1,88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,2007,5,29,22,1,"(41.95469, -87.800991)",1,88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64
2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,2007,5,29,22,1,"(41.994991, -87.769279)",1,88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,2007,5,29,22,1,"(41.974089, -87.824812)",1,88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,2007,5,29,22,1,"(41.974089, -87.824812)",1,88,60,74,10,58,65,421,2000,0.0,29.39,30.11,5.8,18,6.5,-9,64
2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,2007,5,29,22,1,"(41.9216, -87.666455)",2,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66
2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,2007,5,29,22,1,"(41.891118, -87.654491)",2,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,2007,5,29,22,1,"(41.867108, -87.654224)",2,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,2007,5,29,22,1,"(41.867108, -87.654224)",2,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66
2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,2007,5,29,22,1,"(41.896282, -87.655232)",2,88,65,77,11,59,66,421,2000,0.0,29.44,30.09,5.8,16,7.4,-12,66
